rhsa,package,cve,source,url,status_code,error_detail
RHSA-2025:12450,libxml2,CVE-2025-7425,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12450.json,200,
RHSA-2025:1266,kernel,CVE-2024-53104,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:1266.json,200,
RHSA-2025:12752,kernel,CVE-2022-50020,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12752.json,200,
RHSA-2025:12752,kernel,CVE-2025-21928,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12752.json,200,
RHSA-2025:12752,kernel,CVE-2025-22020,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12752.json,200,
RHSA-2025:12752,kernel,CVE-2025-37890,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12752.json,200,
RHSA-2025:12752,kernel,CVE-2025-38052,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12752.json,200,
RHSA-2025:12752,kernel,CVE-2025-38079,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12752.json,200,
RHSA-2025:12980,glibc,CVE-2025-8058,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:12980.json,200,
RHSA-2025:1301,gcc,CVE-2020-11023,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:1301.json,200,
RHSA-2025:13203,libxml2,CVE-2025-32415,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13203.json,200,
RHSA-2025:13234,python-requests,CVE-2024-47081,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13234.json,200,
RHSA-2025:13315,gdk-pixbuf2,CVE-2025-7345,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13315.json,200,
RHSA-2025:13589,kernel,CVE-2021-47670,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13589.json,200,
RHSA-2025:13589,kernel,CVE-2024-56644,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13589.json,200,
RHSA-2025:13589,kernel,CVE-2025-21727,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13589.json,200,
RHSA-2025:13589,kernel,CVE-2025-21759,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13589.json,200,
RHSA-2025:13589,kernel,CVE-2025-38085,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13589.json,200,
RHSA-2025:13589,kernel,CVE-2025-38159,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13589.json,200,
RHSA-2025:13960,kernel,CVE-2022-50269,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13960.json,200,
RHSA-2025:13960,kernel,CVE-2022-50369,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13960.json,200,
RHSA-2025:13960,kernel,CVE-2025-22097,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13960.json,200,
RHSA-2025:13960,kernel,CVE-2025-37914,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13960.json,200,
RHSA-2025:13960,kernel,CVE-2025-38250,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13960.json,200,
RHSA-2025:13960,kernel,CVE-2025-38380,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:13960.json,200,
RHSA-2025:14135,libarchive,CVE-2025-5914,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:14135.json,200,
RHSA-2025:14438,kernel,CVE-2025-22058,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:14438.json,200,
RHSA-2025:14438,kernel,CVE-2025-38200,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:14438.json,200,
RHSA-2025:14553,python-cryptography,CVE-2023-49083,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:14553.json,200,
RHSA-2025:14557,pam,CVE-2025-6020,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:14557.json,200,
RHSA-2025:14557,pam,CVE-2025-8941,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:14557.json,200,
RHSA-2025:14560,python3,CVE-2025-8194,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:14560.json,200,
RHSA-2025:14573,aide,CVE-2025-54389,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:14573.json,200,
RHSA-2025:15008,kernel,CVE-2025-38211,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15008.json,200,
RHSA-2025:15008,kernel,CVE-2025-38332,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15008.json,200,
RHSA-2025:15008,kernel,CVE-2025-38464,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15008.json,200,
RHSA-2025:15008,kernel,CVE-2025-38477,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15008.json,200,
RHSA-2025:1517,libxml2,CVE-2022-49043,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:1517.json,200,
RHSA-2025:15471,kernel,CVE-2022-49985,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15471.json,200,
RHSA-2025:15471,kernel,CVE-2025-38352,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15471.json,200,
RHSA-2025:15702,cups,CVE-2025-58060,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15702.json,200,
RHSA-2025:15785,kernel,CVE-2023-53125,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15785.json,200,
RHSA-2025:15785,kernel,CVE-2025-38350,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15785.json,200,
RHSA-2025:15785,kernel,CVE-2025-38392,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15785.json,200,
RHSA-2025:15785,kernel,CVE-2025-38449,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15785.json,200,
RHSA-2025:15785,kernel,CVE-2025-38684,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:15785.json,200,
RHSA-2025:16372,kernel,CVE-2025-38461,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16372.json,200,
RHSA-2025:16372,kernel,CVE-2025-38498,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16372.json,200,
RHSA-2025:16372,kernel,CVE-2025-38556,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16372.json,200,
RHSA-2025:1675,bind,CVE-2024-11187,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:1675.json,200,
RHSA-2025:16823,openssh,CVE-2025-26465,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16823.json,200,
RHSA-2025:16919,kernel,CVE-2022-50087,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16919.json,200,
RHSA-2025:16919,kernel,CVE-2025-22026,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16919.json,200,
RHSA-2025:16919,kernel,CVE-2025-37797,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16919.json,200,
RHSA-2025:16919,kernel,CVE-2025-37823,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16919.json,200,
RHSA-2025:16919,kernel,CVE-2025-38718,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:16919.json,200,
RHSA-2025:17397,kernel,CVE-2025-38527,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:17397.json,200,
RHSA-2025:17397,kernel,CVE-2025-39730,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:17397.json,200,
RHSA-2025:17415,gnutls,CVE-2025-32988,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:17415.json,200,
RHSA-2025:17415,gnutls,CVE-2025-32990,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:17415.json,200,
RHSA-2025:17415,gnutls,CVE-2025-6395,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:17415.json,200,
RHSA-2025:17715,vim,CVE-2025-53905,csaf_json,https://access.redhat.com/hydra/rest/securitydata/csaf/RHSA-2025:17715.json,200,
