uic,unit,mcn,maint_act_sts,maint_act_dttm
00246,AIMD NAS NORTH ISLAN,P9A0QF4,WP,2023-03-16 12:29:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,M3,2023-03-23 11:05:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,IW,2023-03-23 13:00:59
00246,AIMD NAS NORTH ISLAN,P9A0RF2,A1,2023-03-23 14:38:00
00246,AIMD NAS NORTH ISLAN,P9A01S0,IW,2023-03-20 08:00:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,M8,2023-02-21 14:13:59
00246,AIMD NAS NORTH ISLAN,P9A018U,M8,2023-02-21 14:14:59
00246,AIMD NAS NORTH ISLAN,P9A097N,M8,2023-02-21 14:17:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,M3,2023-03-27 09:07:59
00246,AIMD NAS NORTH ISLAN,P9AZWPD,IW,2023-04-04 07:30:59
00246,AIMD NAS NORTH ISLAN,P9A01S0,WP,2023-03-20 12:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,M3,2023-02-16 09:01:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,IW,2023-04-04 12:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WS,2023-04-04 14:00:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,WP,2023-04-04 14:44:59
00246,AIMD NAS NORTH ISLAN,P9A0A39,M6,2023-04-05 09:54:59
00246,AIMD NAS NORTH ISLAN,P9A0T89,A1,2023-04-06 10:12:00
00246,AIMD NAS NORTH ISLAN,P9A0T8A,A1,2023-04-06 10:12:00
00246,AIMD NAS NORTH ISLAN,P9A0RF2,M3,2023-03-23 14:52:40.186000
00246,AIMD NAS NORTH ISLAN,P9A0RF2,IW,2023-04-12 06:00:59
00246,AIMD NAS NORTH ISLAN,P9A018U,M3,2023-03-27 09:20:59
00246,AIMD NAS NORTH ISLAN,P9A018U,IW,2023-04-12 06:15:59
00246,AIMD NAS NORTH ISLAN,P9A018U,WS,2023-04-12 06:30:59
00246,AIMD NAS NORTH ISLAN,P9A0RF2,WS,2023-04-12 06:15:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,WP,2023-03-14 11:22:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,IW,2023-04-13 11:00:59
00246,AIMD NAS NORTH ISLAN,P9A0NCU,WS,2023-04-13 11:15:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,WP,2023-03-23 13:01:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,M8,2023-04-18 07:15:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,M3,2023-04-20 06:12:59
00246,AIMD NAS NORTH ISLAN,P9A0UMJ,A1,2023-04-20 10:29:00
00246,AIMD NAS NORTH ISLAN,P9A0QF4,IW,2023-04-20 07:00:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,M3,2023-04-20 14:00:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,IW,2023-04-20 16:00:59
00246,AIMD NAS NORTH ISLAN,P9AYS85,M9,2021-11-16 07:09:59
00246,AIMD NAS NORTH ISLAN,P9A0VFE,M3,2023-04-28 00:01:45
00246,AIMD NAS NORTH ISLAN,P9A0VFE,IW,2023-04-28 00:01:50
00246,AIMD NAS NORTH ISLAN,P9A0QAX,WP,2023-03-22 12:34:59
00246,AIMD NAS NORTH ISLAN,P9A0VGN,A1,2023-04-27 10:23:00
00246,AIMD NAS NORTH ISLAN,P9A0QAX,M6,2023-04-27 10:54:59
00246,AIMD NAS NORTH ISLAN,P9A0VGN,M3,2023-04-27 10:57:05.046000
00246,AIMD NAS NORTH ISLAN,P9A0VGN,IW,2023-04-27 12:30:59
00246,AIMD NAS NORTH ISLAN,P9A0VJJ,M3,2023-04-27 12:30:59
00246,AIMD NAS NORTH ISLAN,P9A0VJJ,IW,2023-04-27 12:32:59
00246,AIMD NAS NORTH ISLAN,P9A0VJJ,WS,2023-04-27 13:29:59
00246,AIMD NAS NORTH ISLAN,P9A0VGN,WS,2023-04-27 13:10:59
00246,AIMD NAS NORTH ISLAN,P9A0QF4,M8,2023-04-20 19:45:59
