uic,unit,mcn,act_take_cd,ref_loc_use,ddsn,awp_fg,ref_symb,fail_part_fg,fail_cage,fail_part_no,mal_dscrptn_cd,ty_itm_ind,matl_index,repl_reqd_fg,ovrd_cgpn_fg,ti_crit_fg,ti_maf_fg,proj_cd,scnd_adv_cd,cannib_fg,actl_rcpt_dttm,fail_qty,xref_ind,iss_pri_dsg,ord_dttm,ti_mcn,reqd_cage,reqd_part_no,ovrd_reqd_cgpn_fg,end_itm_rep_fg,reord_xref_ind,ord_otcpn_fg
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70N,N,O-RING,N,07482,J221P906,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:58:28.800000,1,5,03,2025-02-21 10:31:20.420000, ,07482,J221P906,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70P,N,NUT,N,99207,5153T44P01,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:49:50.096000,1,6,03,2025-02-21 10:31:23.750000, ,99207,5153T44P01,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70Q,N,BOLT,N,07482,J643P35A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:42:48.236000,1,7,03,2025-02-21 10:31:25.483000, ,07482,J643P35A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70R,N,NUT,N,99207,4040T69P02,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:49:54.870000,1,8,03,2025-02-21 10:31:27.233000, ,99207,4040T69P02,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70S,N,BOLT,N,07482,J643P06A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:49:58.846000,1,9,03,2025-02-21 10:31:29.186000, ,07482,J643P06A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70T,N,BOLT,N,07482,J643P10A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:50:05.560000,1,10,03,2025-02-21 10:31:31.100000, ,07482,J643P10A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70U,N,BOLT,N,07482,J643P06A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:42:54.090000,1,11,03,2025-02-21 10:31:35.250000, ,07482,J643P06A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70B,N,BOLT,N,07482,J643P06A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:48:54.923000,1,12,03,2025-02-21 10:30:56.200000, ,07482,J643P06A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70C,N,BOLT,N,07482,J643P06A,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:42:14.856000,1,13,03,2025-02-21 10:30:58.286000, ,07482,J643P06A,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70D,N,SHIM,N,99207,3031T84P04,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:49:00.050000,1,14,03,2025-02-21 10:31:00.946000, ,99207,3031T84P04,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70X,N,SHIM,N,99207,3031T84P05,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:50:23.190000,1,15,03,2025-02-21 10:31:43.253000, ,99207,3031T84P05,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B702,N,SHIM,N,99207,3031T84P06,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:47:21.360000,1,16,03,2025-02-21 10:30:36.086000, ,99207,3031T84P06,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70G,N,NUT,N,99207,4046T32P04,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:49:13.176000,1,17,03,2025-02-21 10:31:08.100000, ,99207,4046T32P04,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70H,N,ORING,N,07482,J221P905,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:58:24.850000,1,18,03,2025-02-21 10:31:10.043000, ,07482,J221P905,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70J,N,NUT,N,99207,4042T93P03,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:49:23.430000,1,19,03,2025-02-21 10:31:12.566000, ,99207,4042T93P03,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B70W,N,ORING,N,81343,AS3209-158,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:43:04.056000,1,20,03,2025-02-21 10:31:40.993000, ,81343,AS3209-158,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B707,N,PACKING,N,07482,J221P007,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:41:45.583000,1,21,03,2025-02-21 10:30:47.616000, ,07482,J221P007,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B708,N,PACKING,N,81343,AS3209-013,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:48:39.966000,1,22,03,2025-02-21 10:30:49.490000, ,81343,AS3209-013,N,N,0,N
00246,AIMD NAS NORTH ISLAN,P9A2SP3,None,A1-T700A-IPB-400,5052B709,N,PACKING,N,81343,AS3209-112,None,C, ,Y,N,N,N,ZQ9, ,N,2025-02-21 12:48:44.820000,1,23,03,2025-02-21 10:30:51.400000, ,81343,AS3209-112,N,N,0,N
